2023-02-21 17:35:21,824 INFO    MainThread:278567 [wandb_setup.py:_flush():68] Configure stats pid to 278567
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_setup.py:_flush():68] Loading settings from /home/haliterdogan/.config/wandb/settings
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_setup.py:_flush():68] Loading settings from /home/haliterdogan/dev/repos/main/wandb/settings
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'codelabs/py/wandb/demo.py', 'program': '/home/haliterdogan/dev/repos/main/codelabs/py/wandb/demo.py'}
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_init.py:_log_setup():492] Logging user logs to /home/haliterdogan/dev/repos/main/wandb/run-20230221_173521-s1ozvyx6/logs/debug.log
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_init.py:_log_setup():493] Logging internal logs to /home/haliterdogan/dev/repos/main/wandb/run-20230221_173521-s1ozvyx6/logs/debug-internal.log
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_init.py:init():532] calling init triggers
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_init.py:init():588] starting backend
2023-02-21 17:35:21,825 INFO    MainThread:278567 [wandb_init.py:init():592] setting up manager
2023-02-21 17:35:21,828 INFO    MainThread:278567 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-21 17:35:21,830 INFO    MainThread:278567 [wandb_init.py:init():599] backend started and connected
2023-02-21 17:35:21,832 INFO    MainThread:278567 [wandb_init.py:init():687] updated telemetry
2023-02-21 17:35:21,837 INFO    MainThread:278567 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-21 17:35:22,208 INFO    MainThread:278567 [wandb_run.py:_on_init():2134] communicating current version
2023-02-21 17:35:22,347 INFO    MainThread:278567 [wandb_run.py:_on_init():2143] got version response 
2023-02-21 17:35:22,347 INFO    MainThread:278567 [wandb_init.py:init():775] starting run threads in backend
2023-02-21 17:35:22,387 INFO    MainThread:278567 [wandb_run.py:_console_start():2114] atexit reg
2023-02-21 17:35:22,388 INFO    MainThread:278567 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-21 17:35:22,388 INFO    MainThread:278567 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-21 17:35:22,388 INFO    MainThread:278567 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-21 17:35:22,388 INFO    MainThread:278567 [wandb_init.py:init():817] run started, returning control to user process
2023-02-21 17:35:22,389 INFO    MainThread:278567 [wandb_run.py:_finish():1854] finishing run haliterdogan/my-awesome-project/s1ozvyx6
2023-02-21 17:35:22,389 INFO    MainThread:278567 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-02-21 17:35:22,389 INFO    MainThread:278567 [wandb_run.py:_restore():2066] restore
2023-02-21 17:35:22,389 INFO    MainThread:278567 [wandb_run.py:_restore():2072] restore done
2023-02-21 17:35:28,617 INFO    MainThread:278567 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-02-21 17:35:28,618 INFO    MainThread:278567 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-02-21 17:35:28,622 INFO    MainThread:278567 [wandb_run.py:_footer_sync_info():3398] logging synced files
